"VIC_ESCOLARIDAD","VIC_EST_CIV","VIC_TRABAJA","AGR_TRABAJA","AGR_ESCOLARIDAD","AGR_EST_CIV"
59,2,1,2,39,2
46,2,1,2,46,2
33,2,1,2,23,2
49,2,1,2,39,2
39,2,1,2,39,2
39,2,1,2,99,2
46,2,1,2,59,2
26,2,1,2,26,2
10,2,2,1,10,2
26,2,2,1,45,2
29,2,2,1,29,2
39,2,2,1,39,2
46,2,1,2,46,2
10,2,2,2,32,2
22,2,2,1,32,2
26,2,2,1,32,2
32,2,2,1,32,2
33,2,2,1,26,2
44,2,2,1,44,2
26,2,1,2,10,2
99,1,2,2,99,3
22,3,2,1,23,3
39,3,2,1,29,3
59,3,2,9,39,3
99,9,2,9,99,3
29,3,2,1,10,3
26,3,2,1,26,3
46,2,2,1,46,3
10,3,2,2,29,3
10,3,2,1,39,3
23,3,2,1,23,3
23,3,2,1,10,3
24,3,2,1,26,3
26,3,2,1,26,3
29,3,2,1,29,3
29,3,2,1,39,3
32,3,2,1,25,3
33,3,2,1,33,3
33,3,2,1,33,3
33,3,2,1,26,3
39,3,2,2,39,3
39,3,2,2,39,3
49,3,2,2,29,3
29,9,2,1,99,3
33,9,2,1,33,3
46,3,1,2,33,3
24,3,1,1,26,3
32,3,1,1,33,3
29,3,1,2,31,3
33,3,1,2,26,3
33,3,1,2,26,3
10,3,1,1,39,3
29,3,1,2,29,3
32,2,1,2,44,3
99,2,1,2,99,3
10,2,2,1,23,3
10,2,2,1,10,3
25,3,1,2,26,3
10,2,2,2,26,3
23,3,2,1,26,3
24,3,2,1,99,3
26,3,2,2,25,3
33,3,2,1,46,3
39,3,2,1,29,3
46,3,1,2,46,3
39,3,1,2,29,3
26,3,1,1,26,3
33,3,1,1,31,3
33,3,1,2,33,3
10,2,2,2,26,3
10,2,2,1,26,3
29,2,2,2,29,3
10,3,2,1,10,3
10,3,2,1,29,3
10,3,2,1,26,3
10,3,2,1,10,3
10,3,2,1,33,3
10,3,2,1,21,3
26,3,2,1,26,3
26,3,2,1,33,3
26,3,2,1,31,3
26,3,2,1,31,3
26,3,2,2,33,3
26,3,2,1,26,3
26,3,2,1,44,3
29,3,2,1,29,3
31,3,2,1,32,3
32,3,2,1,31,3
33,3,2,1,25,3
33,3,2,1,33,3
33,3,2,1,33,3
33,3,2,1,33,3
33,3,2,1,99,3
45,3,2,1,26,3
45,3,2,1,32,3
46,3,2,1,32,3
52,3,2,1,33,3
59,3,2,1,39,3
